date,pincode,state,district,latitude,longitude,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,children_enrolled,adult_migration_volume,labor_activity,School_Dropout_Risk_Index,Migrant_Hunger_Score,Village_Hollow_Out_Rate,Electoral_Discrepancy_Index,Skill_Gap_Migration_Flow,Governance_Risk_Score,Governance_Risk_Level,Risk_Score,Risk_Influx,Risk_Ghost_Population,Sudden_Spike_Anomaly,Mass_Migration_Alert
2025-03-01,110002,Delhi,Central Delhi,28.6284722,77.2445556,0.0,0.0,0.0,130.0,1428.0,520.0,854.0,0.0,1428.0,854.0,30.0,79.90661641297845,79.86354846015809,24.445012282729266,99.83298972664394,60.04,High,50,0,0,0,1
2025-03-01,110005,Delhi,Central Delhi,28.6535556,77.1918333,0.0,0.0,0.0,145.0,2190.0,441.0,950.0,0.0,2190.0,950.0,30.0,79.94924300058655,79.92661722601964,24.445012282729266,99.88194351686771,60.07,High,50,0,0,0,1
2025-03-01,110006,Delhi,North Delhi,28.662197,77.235397,0.0,0.0,0.0,392.0,4938.0,1802.0,3052.0,0.0,4938.0,3052.0,30.0,79.98914009280284,79.98689842211937,24.445012282729266,99.98505746458915,60.1,High,50,0,0,0,1
2025-03-01,110007,Delhi,North Delhi,28.6872778,77.1936111,0.0,0.0,0.0,133.0,2437.0,487.0,973.0,0.0,2437.0,973.0,30.0,79.95682170587655,79.93709384237455,24.445012282729266,99.89126445325884,60.07,High,50,0,0,0,1
2025-03-01,110008,Delhi,Central Delhi,28.6453611,77.1729722,0.0,0.0,0.0,432.0,5658.0,1266.0,2114.0,0.0,5658.0,2114.0,30.0,79.99201477411974,79.99052226280975,24.445012282729266,99.97838471947175,60.1,High,50,0,0,0,1
2025-03-01,110009,Delhi,North West Delhi,28.698444,77.202111,0.0,0.0,0.0,60.0,1346.0,360.0,624.0,0.0,1346.0,624.0,30.0,79.8984860011731,79.84473236426568,24.445012282729266,99.76591673296824,60.02,High,50,0,0,0,1
2025-03-01,110012,Delhi,Central Delhi,28.6320278,77.1484167,0.0,0.0,0.0,146.0,1444.0,412.0,548.0,0.0,1444.0,548.0,30.0,79.9080537536369,79.86775304454886,24.445012282729266,99.74080827908219,60.02,High,50,0,0,0,1
2025-03-01,110015,Delhi,West Delhi,28.6541389,77.1356389,0.0,0.0,0.0,167.0,2159.0,666.0,1283.0,0.0,2159.0,1283.0,30.0,79.94809603177829,79.9259203335792,24.445012282729266,99.9141109104319,60.07,High,50,0,0,0,1
2025-03-01,110019,Delhi,South Delhi,28.5431667,77.2576667,0.0,0.0,0.0,188.0,2519.0,577.0,790.0,0.0,2519.0,790.0,30.0,79.95937697815823,79.9432264958506,24.445012282729266,99.86195722241904,60.07,High,50,0,0,0,1
2025-03-01,110025,Delhi,South Delhi,28.5613611,77.2795833,0.0,0.0,0.0,528.0,6220.0,1801.0,2858.0,0.0,6220.0,2858.0,30.0,79.99398930270104,79.99307753509144,24.445012282729266,99.98803087233512,60.11,High,50,0,0,0,1
2025-03-01,110027,Delhi,West Delhi,28.6455278,77.1274722,0.0,0.0,0.0,340.0,3876.0,1092.0,2420.0,0.0,3876.0,2420.0,30.0,79.98125649707015,79.97695608996882,24.445012282729266,99.97418594251799,60.1,High,50,0,0,0,1
2025-03-01,110030,Delhi,South Delhi,28.5176111,77.17936109999998,0.0,0.0,0.0,167.0,1485.0,528.0,1085.0,0.0,1485.0,1085.0,30.0,79.91118976961897,79.87469873920543,24.445012282729266,99.86815666142061,60.05,High,50,0,0,0,1
